0, 0
1, 1
2, 2
3, 1
4, 3
5, 3
6, 2
7, 3
8, 4
9, 4
10, 5
11, 4
12, 5
13, 3
14, 6
15, 7
16, 5
17, 5
18, 6
19, 4
20, 6
21, 8
22, 7
23, 4
24, 5
25, 5
26, 6
27, 6
28, 6
29, 6
30, 7
31, 2
32, 2
33, 8
34, 8
35, 8
36, 8
37, 4
38, 9
39, 9
40, 5
41, 9
42, 6
43, 5
44, 7
45, 5
46, 6
47, 7
48, 3
49, 8
50, 4
51, 6
52, 6
53, 7
54, 7
55, 7
56, 6
57, 9
58, 10
59, 11
60, 5
61, 6
62, 10
63, 3
64, 9
65, 7
66, 4
67, 8
68, 9
69, 10
70, 6
71, 8
72, 7
73, 10
74, 11
75, 7
76, 7
77, 12
78, 12
79, 9
80, 10
81, 9
82, 7
83, 8
84, 10
85, 4
86, 6
87, 10
88, 8
89, 13
90, 8
91, 4
92, 11
93, 11
94, 7
95, 8
96, 7
97, 7
98, 10
99, 12
